StateUS_PopDen,Population Density per square mile,Population Density per square km,Population,Land area mi2,Land area km2,MyID_USPopDen
Alabama,95,37,"4,858,979","50,645","131,169.90",1
Alaska,1,<1,"738,432","570,641","1,477,953.40",2
American Samoa,721,279,"55,538",77,199.4,
Arizona,60,23,"6,828,065","113,594","294,207.10",3
Arkansas,57,22,"2,978,204","52,035","134,770.00",4
California,251,97,"39,144,818","155,959","403,932.00",5
Colorado,52,20,"5,456,574","103,642","268,431.50",6
Connecticut,741,286,"3,590,886","4,842","12,540.70",7
Delaware,485,187,"945,934","1,949","5,047.90",8
District of Columbia,11011,4251,"672,228",61,158,51
Florida,378,145,"20,271,272","53,625","138,888.10",9
Georgia,177,68,"10,214,860","57,513","148,958.00",10
Guam,808,314,"169,885",210,543.9,
Hawaii,222,86,"1,431,603","6,423","16,635.50",11
Idaho,20,7,"1,654,930","82,643","214,044.40",12
Illinois,231,89,"12,859,995","55,519","143,793.50",13
Indiana,184,71,"6,619,680","35,826","92,788.90",14
Iowa,55,21,"3,123,899","55,857","144,669.00",15
Kansas,36,14,"2,911,641","81,759","211,754.80",16
Kentucky,112,43,"4,425,092","39,486","102,268.30",17
Louisiana,108,41,"4,670,724","43,204","111,897.80",18
Maine,43,16,"1,329,328","30,843","79,883.00",19
Maryland,618,238,"6,006,401","9,707","25,141.00",20
Massachusetts,871,336,"6,794,422","7,800","20,201.90",21
Michigan,175,67,"9,922,576","56,539","146,435.30",22
Minnesota,68,26,"5,489,594","79,627","206,233.00",23
Mississippi,63,24,"2,992,333","46,923","121,530.00",24
Missouri,88,34,"6,083,672","68,742","178,041.00",25
Montana,7,2,"1,032,949","145,546","376,962.40",26
Nebraska,24,9,"1,896,190","76,824","198,973.20",27
Nevada,26,10,"2,890,845","109,781","284,331.50",28
New Hampshire,148,57,"1,330,608","8,953","23,188.20",29
New Jersey,1218,470,"8,958,013","7,354","19,046.80",30
New Mexico,17,6,"2,085,109","121,298","314,160.40",31
New York,245,162,"11,458,974","46,823","122,055.80",32
North Carolina,206,79,"10,042,802","48,618","125,920.00",33
North Dakota,10,4,"756,927","69,001","178,711.80",34
Northern Mariana Islands,307,118,"55,070",179,463.6,
Ohio,284,109,"11,614,373","40,861","105,829.50",35
Oklahoma,57,22,"3,911,338","68,595","177,660.20",36
Oregon,41,16,"4,028,977","95,988","248,607.80",37
Pennsylvania,286,110,"12,802,503","44,743","115,883.80",38
Puerto Rico,1046,404,"3,680,058","3,515","9,103.80",
Rhode Island,1021,394,"1,056,298","1,034","2,678.00",39
South Carolina,162,62,"4,896,146","30,061","77,857.60",40
South Dakota,11,4,"858,469","75,811","196,349.60",41
Tennessee,160,61,"6,600,299","41,235","106,798.20",42
Texas,105,40,"27,469,114","261,232","676,587.80",43
US Virgin Islands,799,308,"106,906",134,347.1,
Utah,36,14,"2,995,919","82,170","212,819.30",44
Vermont,67,26,"626,042","9,217","23,871.90",45
Virginia,212,81,"8,382,993","39,490","102,278.60",46
Washington,107,41,"7,170,351","66,456","172,120.20",47
West Virginia,76,29,"1,844,128","24,038","62,258.10",48
Wisconsin,106,41,"5,771,337","54,158","140,268.60",49
Wyoming,6,2,"586,107","97,093","251,469.70",50
