Geographic code,Province/Territory_CanPopDen,MyID_CanPopDen,"Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2016","Population, 2011",2011 adjusted population flag,"Incompletely enumerated Indian reserves and Indian settlements, 2011","Population, % change","Total private dwellings, 2016","Private dwellings occupied by usual residents, 2016","Land area in square kilometres, 2016","Population density per square kilometre, 2016"
1,Canada,,T,35151728,33476688,F,T,5,15412443,14072079,8965588.85,3.9
10,Newfoundland and Labrador,61,F,519716,514536,F,F,1,265739,218673,370514.08,1.4
11,Prince Edward Island,58,F,142907,140204,F,F,1.9,71119,59472,5686.03,25.1
12,Nova Scotia,54,F,923598,921727,F,F,0.2,458568,401990,52942.27,17.4
13,New Brunswick,55,F,747101,751171,F,F,-0.5,359721,319773,71388.81,10.5
24,Quebec,53,T,8164361,7903001,F,T,3.3,3858943,3531663,1356625.27,6
35,Ontario,52,T,13448494,12851821,F,T,4.6,5598391,5169174,908699.33,14.8
46,Manitoba,56,F,1278365,1208268,F,T,5.8,539748,489050,552370.99,2.3
47,Saskatchewan,59,F,1098352,1033381,F,T,6.3,495582,432622,588243.54,1.9
48,Alberta,60,T,4067175,3645257,F,T,11.6,1654129,1527678,640330.46,6.4
59,British Columbia,57,T,4648055,4400057,F,T,5.6,2063417,1881969,922503.01,5
60,Yukon,63,F,35874,33897,F,F,5.8,17987,15215,474712.68,0.1
61,Northwest Territories,62,F,41786,41462,F,F,0.8,17666,14981,1143793.86,0
62,Nunavut,64,F,35944,31906,F,F,12.7,11433,9819,1877778.53,0
