State_USAAge,Average Age,MyID_USAAge
Alabama,39.2,1
Alaska,34.6,2
Arizona,37.9,3
Arkansas,38.3,4
California,36.8,5
Colorado,36.9,6
Connecticut,41,7
Delaware,40.7,8
District of Columbia,34,51
Florida,42.2,9
Georgia,36.9,10
Hawaii,39.2,11
Idaho,36.6,12
Illinois,38.3,13
Indiana,37.9,14
Iowa,38.2,15
Kansas,36.9,16
Kentucky,38.9,17
Louisiana,37.2,18
Maine,44.9,19
Maryland,38.8,20
Massachusetts,39.4,21
Michigan,39.8,22
Minnesota,38.1,23
Mississippi,37.7,24
Missouri,38.7,25
Montana,39.9,26
Nebraska,36.6,27
Nevada,38.1,28
New Hampshire,43,29
New Jersey,40,30
New Mexico,38.1,31
New York,41.4,32
North Carolina,38.9,33
North Dakota,35.2,34
Ohio,39.4,35
Oklahoma,36.7,36
Oregon,39.4,37
Pennsylvania,40.8,38
Rhode Island,40.1,39
South Carolina,39.6,40
South Dakota,37.1,41
Tennessee,38.8,42
Texas,34.8,43
Utah,31,44
Vermont,42.8,45
Virginia,38.4,46
Washington,37.7,47
West Virginia,42.7,48
Wisconsin,39.6,49
Wyoming,38,50
