StateUS_PopDen,Population_NoNYC,MyID_USPopDen
Alabama,"4,858,979",1
Alaska,"738,432",2
American Samoa,"55,538",
Arizona,"6,828,065",3
Arkansas,"2,978,204",4
California,"39,144,818",5
Colorado,"5,456,574",6
Connecticut,"3,590,886",7
Delaware,"945,934",8
District of Columbia,"672,228",51
Florida,"20,271,272",9
Georgia,"10,214,860",10
Guam,"169,885",
Hawaii,"1,431,603",11
Idaho,"1,654,930",12
Illinois,"12,859,995",13
Indiana,"6,619,680",14
Iowa,"3,123,899",15
Kansas,"2,911,641",16
Kentucky,"4,425,092",17
Louisiana,"4,670,724",18
Maine,"1,329,328",19
Maryland,"6,006,401",20
Massachusetts,"6,794,422",21
Michigan,"9,922,576",22
Minnesota,"5,489,594",23
Mississippi,"2,992,333",24
Missouri,"6,083,672",25
Montana,"1,032,949",26
Nebraska,"1,896,190",27
Nevada,"2,890,845",28
New Hampshire,"1,330,608",29
New Jersey,"8,958,013",30
New Mexico,"2,085,109",31
New York,"11,458,974",32
North Carolina,"10,042,802",33
North Dakota,"756,927",34
Northern Mariana Islands,"55,070",
Ohio,"11,614,373",35
Oklahoma,"3,911,338",36
Oregon,"4,028,977",37
Pennsylvania,"12,802,503",38
Puerto Rico,"3,680,058",
Rhode Island,"1,056,298",39
South Carolina,"4,896,146",40
South Dakota,"858,469",41
Tennessee,"6,600,299",42
Texas,"27,469,114",43
US Virgin Islands,"106,906",
Utah,"2,995,919",44
Vermont,"626,042",45
Virginia,"8,382,993",46
Washington,"7,170,351",47
West Virginia,"1,844,128",48
Wisconsin,"5,771,337",49
Wyoming,"586,107",50
